Taxon,Value,Comment
Molinia caerulea,20,
Mycelis muralis,39,
Myosotis arvensis,25,
Myosotis caespitosa,10,
Myosotis palustris agg.,14,
Myosotis sparsiflora,35.5,
Myosotis stricta,6.5,
Myosotis sylvatica,33.5,
Myosoton aquaticum,2,
Myriophyllum spicatum,22.5,
Myrrhis odorata,42,
Nardus stricta,7,
Neottia nidus-avis,75,
Neslia paniculata,5,
Noccaea caerulescens,44,
Noccaea montana,75,
Nonea pulla,30,
Nuphar lutea,45,
Odontites luteus,15,
Odontites vernus,10,
Oenanthe aquatica,30,
Oenothera biennis,10,
Onobrychis arenaria,75,
Onobrychis viciifolia,25,
Ononis repens,36.5,
Ononis spinosa,75,
Onopordum acanthium,75,
Orchis purpurea,40,
Oreopteris limbosperma,1.5,
Origanum vulgare,28,
Orthilia secunda,34,
Oxalis acetosella,7,
Oxalis stricta,7,
Oxytropis pilosa,20,
Papaver argemone,2,
Papaver dubium,25,
Papaver rhoeas,3,
Paris quadrifolia,75,
Parnassia palustris,5.5,
Parthenocissus inserta,47,
Parthenocissus quinquefolia,42,
Pastinaca sativa,18,
Pedicularis sylvatica,25,
Persicaria amphibia,7,
Persicaria hydropiper,4,
Persicaria lapathifolia,2.5,
Persicaria maculosa,2,
Persicaria minor,18,
Persicaria mitis,20,
Petasites albus,3.5,
Petasites hybridus,17.5,
Petrorhagia prolifera,7,
Peucedanum cervaria,18,
Peucedanum palustre,15,
Phalaris arundinacea,7,
Phegopteris connectilis,1.5,
Phleum phleoides,13,
Phleum pratense,12,
Phragmites australis,15.5,
Phyteuma spicatum,4,
Picea abies,15,
Picris hieracioides,13,
Pilosella aurantiaca,20,
Pilosella bauhini,30,
Pilosella caespitosa,6,
Pilosella cymosa,25,
Pilosella lactucella,7,
Pilosella officinarum,27,
Pilosella piloselloides,20.5,
Pimpinella major,4,
Pimpinella saxifraga,32.5,
Pinguicula vulgaris,7,
Pinus nigra,48,
Pinus strobus,15,
Pinus sylvestris,15,
Pinus uncinata subsp. uliginosa,75,
Plantago lanceolata,16,
Plantago major,6,
Plantago media,30,
Platanthera bifolia,47,
Platanthera chlorantha,5.5,
Poa annua,4,
Poa bulbosa,75,
Poa compressa,15,
Poa nemoralis,33,
Poa palustris,18,
Poa pratensis,30,
Poa trivialis,33,
Polygala amarella,30,
Polygala comosa,13,
Polygala major,75,
Polygala vulgaris,4,
Polygonatum multiflorum,32.5,
Polygonatum odoratum,13,
Polygonatum verticillatum,3,
Polygonum aviculare,1,
Polystichum aculeatum,35,
Populus,20,
Populus alba,10,
Populus tremula,20,
Potamogeton natans,16.5,
Potentilla anserina,7.5,
Potentilla argentea,19,
Potentilla erecta,7,
Potentilla heptaphylla,30,
Potentilla incana,75,
Potentilla norvegica,3,
Potentilla puberula,35,
Potentilla recta,13,
Potentilla reptans,22,
Potentilla supina,2,
Potentilla verna,30,
Prenanthes purpurea,4,
Primula elatior,75,
Primula veris,32,
Prunella grandiflora,75,
Prunella vulgaris,25.5,
Prunus avium,40,
Prunus cerasifera,29.5,
Prunus domestica,28,
Prunus insititia,36,
Prunus mahaleb,30,
Prunus padus,43,
Prunus serotina,42,
Prunus spinosa,75,
Pseudotsuga menziesii var. menziesii,18,
Pteridium aquilinum,9,
Puccinellia distans,2.5,
Pulmonaria officinalis,23,
Pulsatilla grandis,75,
Pulsatilla pratensis,75,
Pyrola minor,33.5,
Pyrola rotundifolia,18,
Pyrus communis,46,
Pyrus pyraster,75,
Quercus petraea,35,
Quercus pubescens,25,
Quercus robur,33,
Quercus rubra,34.5,
Radiola linoides,20,
Ranunculus aconitifolius,32,
Ranunculus acris,33,
Ranunculus aquatilis,15,
Ranunculus auricomus agg.,75,
Ranunculus bulbosus,25,
Ranunculus flammula,10,
Ranunculus lanuginosus,9,
Ranunculus nemorosus,75,
Ranunculus polyanthemos,25.5,
Ranunculus repens,12,
Ranunculus sceleratus,8,
Raphanus raphanistrum,4.5,
Rapistrum perenne,75,
Reseda lutea,13,
Reseda luteola,35,
Reynoutria japonica,21.5,
Rhamnus cathartica,13,
Rhinanthus alectorolophus,25,
Rhinanthus major,4,
Rhinanthus minor,7,
Rhododendron tomentosum,75,
Rhus typhina,38.5,
Ribes alpinum,75,
Ribes nigrum,3,
Ribes rubrum,35,
Ribes uva-crispa,42.5,
Robinia pseudoacacia,30,
Rorippa palustris,2,
Rorippa sylvestris,75,
Rosa canina agg.,35,
Rosa gallica,75,
Rosa rubiginosa,13,
Rosa spinosissima,35,
Rubus,25,
Rubus idaeus,30,
Rumex acetosa,29,
Rumex acetosella,7,
Rumex aquaticus,15,
Rumex crispus,7,
Rumex maritimus,5,
Rumex obtusifolius,7.5,
Rumex patientia,10.5,
Rumex sanguineus,3.5,
Rumex thyrsiflorus,3.5,
Sagina procumbens,5,
Salix alba,12.5,
Salix aurita,15,
Salix caprea,15,
Salix cinerea,15,
Salix elaeagnos,1,
Salix euxina,14.5,
Salix pentandra,1,
Salix purpurea,13,
Salix triandra,14,
Salix viminalis,15,
Salvia glutinosa,75,
Salvia nemorosa,75,
Salvia pratensis,35,
Salvia verticillata,35,
Sambucus ebulus,13,
Sambucus nigra,30,
Sambucus racemosa,30,
Sanguisorba minor,25,
Sanguisorba officinalis,18,
Sanicula europaea,35,
Saponaria officinalis,27,
Saxifraga paniculata,36,
Saxifraga rosacea subsp. sponhemica,32.5,
Saxifraga tridactylites,30,
Scabiosa canescens,75,
Scabiosa ochroleuca,30,
Schoenoplectus lacustris,38,
Schoenoplectus tabernaemontani,8,
Scirpus sylvaticus,15,
Scleranthus annuus,2,
Scleranthus perennis,6,
Scorzoneroides autumnalis,15,
Scrophularia nodosa,23.5,
Scutellaria galericulata,7,
Securigera varia,25,
Sedum acre,25,
Sedum album,16,
Sedum rupestre,26,
Sedum sexangulare,34,
Sedum spurium,30,
Selinum carvifolia,25.5,
Senecio jacobaea,35,
Senecio ovatus,17.5,
Senecio sylvaticus,5,
Senecio vernalis,4,
Senecio viscosus,8,
Senecio vulgaris,4,
Serratula tinctoria,75,
Seseli hippomarathrum,75,
Seseli osseum,21.5,
Sesleria caerulea,33,
Setaria pumila,4,
Setaria viridis,3,
Sherardia arvensis,4,
Silene baccifera,75,
Silene dioica,4.5,
Silene latifolia subsp. alba,10,
Silene nemoralis,13,
Silene noctiflora,3.5,
Silene nutans,28,
Silene otites,75,
Silene vulgaris,26.5,
Sinapis arvensis,4,
Sisymbrium altissimum,3,
Sisymbrium loeselii,6,
Sisymbrium officinale,4.5,
Solanum dulcamara,28,
Solanum nigrum,4,
Solidago canadensis,34,
Solidago gigantea,33,
Solidago virgaurea,35,
Sonchus arvensis,5,
Sonchus asper,5,
Sonchus oleraceus,4,
Sorbus aria,45,
Sorbus aucuparia,35,
Sorbus torminalis,40,
Sparganium emersum,11.5,
Sparganium erectum,3,
Spergula arvensis,3,
Spergula morisonii,3,
Spergularia rubra,2.5,
Spiraea salicifolia,25,
Stachys annua,3.5,
Stachys germanica,15,
Stachys palustris,15,
Stachys recta,27,
Stachys sylvatica,34,
Stellaria alsine,1,
Stellaria graminea,7.5,
Stellaria holostea,34.5,
Stellaria longifolia,30,
Stellaria media,11.5,
Stellaria nemorum,1,
Stipa capillata,47.5,
Stipa pennata,75,
Stipa pulcherrima,75,
Stuckenia pectinata,45,
Succisa pratensis,18,
Symphoricarpos albus,37.5,
Symphyotrichum novi-belgii agg.,39.5,
Symphytum officinale,32,
Symphytum tuberosum,20,
Syringa vulgaris,35,
Tanacetum corymbosum,40,
Tanacetum parthenium,41.5,
Tanacetum vulgare,18,
Taraxacum,16,
Taxus baccata,20,
Teesdalia nudicaulis,28,
Teucrium botrys,17.5,
Teucrium chamaedrys,35,
Teucrium montanum,30,
Thesium linophyllon,13,
Thlaspi arvense,2,
Thymus pannonicus,75,
Thymus praecox,75,
Thymus pulcherrimus,34,
Thymus pulegioides,30,
Thymus serpyllum,12,
Tilia cordata,40,
Tilia platyphyllos,45,
Torilis japonica,34,
Tragopogon dubius,13,
Tragopogon orientalis,16,
Tragopogon pratensis,11,
Trientalis europaea,5.5,
Trifolium alpestre,13,
Trifolium arvense,11,
Trifolium aureum,32,
Trifolium campestre,14.5,
Trifolium dubium,13,
Trifolium hybridum,17,
Trifolium medium,35,
Trifolium montanum,18,
Trifolium pratense,13,
Trifolium repens,7,
Tripleurospermum inodorum,5,
Trisetum flavescens,32,
Tussilago farfara,12,
Typha angustifolia,19,
Typha latifolia,14,
Ulmus glabra,34,
Ulmus laevis,41,
Ulmus minor,75,
Urtica dioica,25,
Urtica urens,25,
Utricularia australis,17.5,
Vaccinium myrtillus,24,
Vaccinium oxycoccos,50,
Vaccinium uliginosum,50,
Vaccinium vitis-idaea,24,
Valeriana officinalis agg.,34,
Valerianella dentata,6,
Valerianella locusta,6,
Valerianella rimosa,3,
Verbascum chaixii,13,
Verbascum densiflorum,18,
Verbascum lychnitis,15,
Verbascum nigrum,2.5,
Verbascum phoeniceum,75,
Verbascum thapsus,14.5,
Verbena officinalis,42,
Veronica agrestis,4,
Veronica anagallis-aquatica,13,
Veronica arvensis,24,
Veronica austriaca,8,
Veronica beccabunga,2,
Veronica chamaedrys,32,
Veronica dillenii,75,
Veronica hederifolia,5,
Veronica montana,7,
Veronica officinalis,22,
Veronica peregrina,2,
Veronica persica,4,
Veronica prostrata,75,
Veronica scutellata,10,
Veronica serpyllifolia,25,
Veronica spicata,75,
Veronica teucrium,75,
Viburnum lantana,37,
Viburnum opulus,33,
Vicia angustifolia,25,
Vicia cracca,30,
Vicia hirsuta,23,
Vicia lathyroides,23,
Vicia sativa,2,
Vicia sepium,32,
Vicia sylvatica,75,
Vicia tenuifolia,8.5,
Vicia tetrasperma,27,
Vicia villosa,13,
Vinca minor,75,
Vincetoxicum hirundinaria,37.5,
Viola arvensis,6,
Viola canina,9,
Viola collina,13,
Viola hirta,35,
Viola mirabilis,42,
Viola odorata,39,
Viola palustris,15,
Viola reichenbachiana,33,
Viola riviniana,34.5,
Viola rupestris,18,
Viola tricolor,3.5,
Viscaria vulgaris,30.5,
Vulpia myuros,6,
